date,is_weekend,minute,number_of_ticket,ride_id,year,diff_btw_0_1_next_bus,diff_btw_0_1_previous_bus,diff_btw_0_2_next_bus,diff_btw_0_2_previous_bus,diff_btw_0_3_next_bus,diff_btw_next_previous_bus,count_trip_per_1min_travel_from,count_trip_per_1min,count_trip_per_3min_travel_from,count_trip_per_3min,count_trip_per_5min_travel_from,count_trip_per_5min,count_trip_per_7min_travel_from,count_trip_per_7min,count_trip_per_10min_travel_from,count_trip_per_10min,count_trip_per_15min_travel_from,count_trip_per_15min,is_holidays,is_after_toomorw_holidays,travel_from_distance,travel_from_time,Speed,is_rush_hour,12H,T_mean,P0_mean,haversine_distance,mean_travel_time_dow,geometric_mean_travel_time_dow,Mean_Travel_Time_dow,Lower_Bound_Travel_Time_dow,Upper_BoundTravel_Time_dow,mean_travel_time_month,geometric_mean_travel_time_month,mean_travel_time_hod_after_8h,geometric_mean_travel_time_hod_after_8h,mean_travel_time_hod_after_9h,geometric_mean_travel_time_hod_after_9h,number_of_ticket_by_hour_mean,number_of_ticket_by_travel_from_mean,number_of_ticket_by_minute_mean,number_of_ticket_by_hour_dayofweek_mean,number_of_ticket_by_hour_travel_from_mean,number_of_ticket_by_dayofweek_travel_from_mean,number_of_ticket_by_minute_travel_from_mean,number_of_ticket_by_travel_from_sum
2017-12-05,0,8,2.0,6654,0,-792.0,792.0,-792.1166666666667,792.1166666666667,-816.0,792.1166666666667,1,3,1,7,1,11,1,9,1,16,1,21,0,0,351.0,398,1.1339031339031338,1,1,20.5,630.6,258.9387805418983,2514.4,2247.5,2514,1554,4066,,,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,9.05722891566265,8.965367965367966,11.149659863945578,8.56,15.215189873417721,0.03462097008422887
2018-01-07,1,8,7.0,8381,1,-0.11666666666666667,792.0,-24.0,792.1166666666667,-24.116666666666667,792.1166666666667,1,3,1,4,1,7,1,10,1,11,1,12,0,0,351.0,398,1.1339031339031338,1,1,18.33333333333333,627.8555555555555,258.9387805418983,1708.77,1611.37,1708,1200,2432,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,9.05722891566265,9.092592592592593,11.149659863945578,9.310344827586206,15.215189873417721,0.03462097008422887
2018-01-07,1,15,1.0,8380,1,-23.883333333333333,0.11666666666666667,-24.0,792.1166666666667,-47.88333333333333,24.0,1,2,1,2,1,2,1,3,1,3,1,2,0,0,351.0,398,1.1339031339031338,1,1,18.33333333333333,627.8555555555555,258.9387805418983,1708.77,1611.37,1708,1200,2432,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,12.850299401197605,9.092592592592593,11.149659863945578,9.310344827586206,3.3684210526315788,0.03462097008422887
2018-01-08,0,8,5.0,8397,1,-0.11666666666666667,23.883333333333333,-24.0,24.0,-24.116666666666667,24.0,1,3,1,5,1,8,1,9,1,11,1,12,0,0,351.0,398,1.1339031339031338,1,1,17.555555555555557,627.6777777777778,258.9387805418983,2429.91,2113.5,2429,1449,4074,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,9.05722891566265,9.14569536423841,11.149659863945578,9.678571428571429,15.215189873417721,0.03462097008422887
2018-01-08,0,15,3.0,8409,1,-23.883333333333333,0.11666666666666667,-24.0,24.0,-47.88333333333333,24.0,1,2,1,2,1,2,1,2,1,3,1,2,0,0,351.0,398,1.1339031339031338,1,1,17.555555555555557,627.6777777777778,258.9387805418983,2429.91,2113.5,2429,1449,4074,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,12.850299401197605,9.14569536423841,11.149659863945578,9.678571428571429,3.3684210526315788,0.03462097008422887
2018-01-09,0,8,11.0,8455,1,-0.11666666666666667,23.883333333333333,-24.0,24.0,-24.066666666666666,24.0,1,3,1,4,1,8,1,6,1,11,1,12,0,0,351.0,398,1.1339031339031338,1,1,18.666666666666668,628.4583333333334,258.9387805418983,2514.4,2247.5,2514,1554,4066,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,9.05722891566265,8.965367965367966,11.149659863945578,8.56,15.215189873417721,0.03462097008422887
2018-01-09,0,15,1.0,8449,1,-23.883333333333333,0.11666666666666667,-23.95,24.0,-24.0,24.0,1,2,1,2,1,2,1,2,1,3,1,2,0,0,351.0,398,1.1339031339031338,1,1,18.666666666666668,628.4583333333334,258.9387805418983,2514.4,2247.5,2514,1554,4066,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,12.850299401197605,8.965367965367966,11.149659863945578,8.56,3.3684210526315788,0.03462097008422887
2018-01-10,0,8,4.0,8495,1,-0.06666666666666668,23.883333333333333,-0.11666666666666667,24.0,-24.0,23.95,1,3,1,5,1,9,1,9,1,13,2,14,0,0,351.0,398,1.1339031339031338,1,1,17.916666666666668,628.525,258.9387805418983,2283.99,2072.77,2283,1469,3549,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,9.05722891566265,9.047151277013752,11.149659863945578,8.375,15.215189873417721,0.03462097008422887
2018-01-10,0,12,9.0,8492,1,-0.05,0.06666666666666668,-23.933333333333334,23.95,-24.05,0.11666666666666667,1,1,1,1,1,1,2,5,2,3,2,14,0,0,351.0,398,1.1339031339031338,1,1,17.916666666666668,628.525,258.9387805418983,2283.99,2072.77,2283,1469,3549,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,22.264150943396228,9.047151277013752,11.149659863945578,8.375,4.0625,0.03462097008422887
2018-01-10,0,15,3.0,8510,1,-23.883333333333333,0.05,-24.0,0.11666666666666667,-47.88333333333333,23.933333333333334,1,2,1,2,1,2,2,5,2,3,1,3,0,0,351.0,398,1.1339031339031338,1,1,17.916666666666668,628.525,258.9387805418983,2283.99,2072.77,2283,1469,3549,2085.86,1896.84,2758.4,2578.91,3062.56,2734.38,9.123711340206185,9.664864864864866,12.850299401197605,9.047151277013752,11.149659863945578,8.375,3.3684210526315788,0.03462097008422887
