"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"12/31/2017","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1730,1212,2470,,,,,,,,,,,,,1793,1266,2538
"01/01/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1874,1404,2502,,,,,,,,,,,,,,,
"01/02/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1751,1266,2419,,,,,,,,,,,,,,,
"01/03/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2143,1513,3035,,,,,,,2366,1903,2940,,,,1564,1206,2027
"01/04/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2068,1327,3221,,,,,,,,,,,,,,,
"01/05/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1753,1338,2298,,,,,,,,,,,,,1477,1142,1911
"01/06/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1581,1303,1919,,,,,,,,,,,,,,,
"01/07/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2050,1467,2865,,,,,,,,,,,,,1768,1442,2169
"01/08/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3066,1980,4748,3502,2626,4670,,,,,,,,,,,,
"01/09/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1702,1215,2382,,,,,,,,,,,,,1445,1098,1902
